FN,FP,TN,TP,sr,t
10360.0,10494.8,41979.2,2590.0,1,0.82
1211.2,920.7,51553.3,11738.8,655,0.82
1062.7,531.7,51942.3,11887.3,1309,0.82
987.3,586.0,51888.0,11962.7,1963,0.82
890.2,514.9,51959.1,12059.8,2617,0.82
850.6,449.6,52024.4,12099.4,3271,0.82
811.5,370.1,52103.9,12138.5,3925,0.82
808.7,330.1,52143.9,12141.3,4579,0.82
820.0,331.6,52142.4,12130.0,5233,0.82
745.8,345.7,52128.3,12204.2,5887,0.82
766.2,286.8,52187.2,12183.8,6541,0.82
733.8,322.5,52151.5,12216.2,7195,0.82
739.3,274.2,52199.8,12210.7,7849,0.82
721.5,295.9,52178.1,12228.5,8503,0.82
682.8,282.9,52191.1,12267.2,9157,0.82
695.6,233.0,52241.0,12254.4,9811,0.82
650.0,307.2,52166.8,12300.0,10465,0.82
676.8,267.3,52206.7,12273.2,11119,0.82
671.8,241.5,52232.5,12278.2,11773,0.82
663.5,253.8,52220.2,12286.5,12427,0.82
641.7,271.7,52202.3,12308.3,13081,0.82
648.8,264.6,52209.4,12301.2,13735,0.82
647.5,236.1,52237.9,12302.5,14389,0.82
640.6,245.5,52228.5,12309.4,15043,0.82
632.6,229.4,52244.6,12317.4,15697,0.82
611.5,255.3,52218.7,12338.5,16351,0.82
624.6,238.0,52236.0,12325.4,17005,0.82
602.7,261.5,52212.5,12347.3,17659,0.82
602.1,240.8,52233.2,12347.9,18313,0.82
590.5,227.8,52246.2,12359.5,18967,0.82
587.5,206.5,52267.5,12362.5,19621,0.82
590.3,220.3,52253.7,12359.7,20275,0.82
584.2,220.9,52253.1,12365.8,20929,0.82
588.0,221.3,52252.7,12362.0,21583,0.82
578.8,227.8,52246.2,12371.2,22237,0.82
577.5,194.3,52279.7,12372.5,22891,0.82
564.4,223.5,52250.5,12385.6,23545,0.82
564.1,193.9,52280.1,12385.9,24199,0.82
543.5,214.5,52259.5,12406.5,24853,0.82
538.2,226.6,52247.4,12411.8,25507,0.82
544.6,203.7,52270.3,12405.4,26161,0.82
550.6,201.6,52272.4,12399.4,26815,0.82
537.9,206.1,52267.9,12412.1,27469,0.82
537.2,197.3,52276.7,12412.8,28123,0.82
518.2,207.2,52266.8,12431.8,28777,0.82
514.6,203.0,52271.0,12435.4,29431,0.82
514.1,199.0,52275.0,12435.9,30085,0.82
511.3,190.7,52283.3,12438.7,30739,0.82
525.9,181.0,52293.0,12424.1,31393,0.82
499.3,196.6,52277.4,12450.7,32047,0.82
492.2,190.9,52283.1,12457.8,32701,0.82
508.4,174.1,52299.9,12441.6,33355,0.82
497.9,182.6,52291.4,12452.1,34009,0.82
486.3,180.0,52294.0,12463.7,34663,0.82
491.0,182.3,52291.7,12459.0,35317,0.82
481.2,173.3,52300.7,12468.8,35971,0.82
469.0,180.5,52293.5,12481.0,36625,0.82
467.9,177.2,52296.8,12482.1,37279,0.82
455.4,184.0,52290.0,12494.6,37933,0.82
470.4,169.5,52304.5,12479.6,38587,0.82
479.1,155.7,52318.3,12470.9,39241,0.82
461.5,161.2,52312.8,12488.5,39895,0.82
464.2,151.9,52322.1,12485.8,40549,0.82
448.8,161.2,52312.8,12501.2,41203,0.82
459.8,153.0,52321.0,12490.2,41857,0.82
437.9,162.3,52311.7,12512.1,42511,0.82
437.9,156.9,52317.1,12512.1,43165,0.82
438.6,148.4,52325.6,12511.4,43819,0.82
442.8,142.1,52331.9,12507.2,44473,0.82
425.4,152.8,52321.2,12524.6,45127,0.82
422.5,152.4,52321.6,12527.5,45781,0.82
419.2,154.2,52319.8,12530.8,46435,0.82
434.5,137.3,52336.7,12515.5,47089,0.82
412.2,145.8,52328.2,12537.8,47743,0.82
409.0,131.8,52342.2,12541.0,48397,0.82
414.0,133.2,52340.8,12536.0,49051,0.82
403.6,133.6,52340.4,12546.4,49705,0.82
401.6,131.7,52342.3,12548.4,50359,0.82
402.9,122.6,52351.4,12547.1,51013,0.82
396.2,124.5,52349.5,12553.8,51667,0.82
389.3,122.9,52351.1,12560.7,52321,0.82
390.4,114.9,52359.1,12559.6,52975,0.82
387.9,116.2,52357.8,12562.1,53629,0.82
380.3,113.9,52360.1,12569.7,54283,0.82
378.5,112.6,52361.4,12571.5,54937,0.82
380.6,108.9,52365.1,12569.4,55591,0.82
370.8,107.8,52366.2,12579.2,56245,0.82
373.4,100.3,52373.7,12576.6,56899,0.82
359.8,101.3,52372.7,12590.2,57553,0.82
362.9,101.8,52372.2,12587.1,58207,0.82
361.7,95.4,52378.6,12588.3,58861,0.82
343.4,106.9,52367.1,12606.6,59515,0.82
353.6,95.2,52378.8,12596.4,60169,0.82
345.4,96.1,52377.9,12604.6,60823,0.82
345.7,92.6,52381.4,12604.3,61477,0.82
345.0,86.3,52387.7,12605.0,62131,0.82
343.1,89.7,52384.3,12606.9,62785,0.82
332.3,87.1,52386.9,12617.7,63439,0.82
326.3,87.3,52386.7,12623.7,64093,0.82
320.3,89.1,52384.9,12629.7,64747,0.82
324.4,81.0,52393.0,12625.6,65401,0.82
