FN,FP,TN,TP,sr,t
8432.1,5605.5,50449.5,936.9,1,16
22.0,0.0,56055.0,9347.0,655,16
20.0,0.0,56055.0,9349.0,1309,16
6.0,0.0,56055.0,9363.0,1963,16
8.0,0.0,56055.0,9361.0,2617,16
0.0,0.0,56055.0,9369.0,3271,16
4.0,0.0,56055.0,9365.0,3925,16
10.0,0.0,56055.0,9359.0,4579,16
6.0,0.0,56055.0,9363.0,5233,16
8.0,0.0,56055.0,9361.0,5887,16
0.0,0.0,56055.0,9369.0,6541,16
2.0,0.0,56055.0,9367.0,7195,16
0.0,0.0,56055.0,9369.0,7849,16
2.0,0.0,56055.0,9367.0,8503,16
0.0,0.0,56055.0,9369.0,9157,16
0.0,0.0,56055.0,9369.0,9811,16
0.0,0.0,56055.0,9369.0,10465,16
2.0,0.0,56055.0,9367.0,11119,16
0.0,0.0,56055.0,9369.0,11773,16
0.0,0.0,56055.0,9369.0,12427,16
0.0,0.0,56055.0,9369.0,13081,16
0.0,0.0,56055.0,9369.0,13735,16
0.0,0.0,56055.0,9369.0,14389,16
0.0,0.0,56055.0,9369.0,15043,16
0.0,0.0,56055.0,9369.0,15697,16
0.0,0.0,56055.0,9369.0,16351,16
0.0,0.0,56055.0,9369.0,17005,16
0.0,0.0,56055.0,9369.0,17659,16
0.0,0.0,56055.0,9369.0,18313,16
0.0,0.0,56055.0,9369.0,18967,16
0.0,0.0,56055.0,9369.0,19621,16
0.0,0.0,56055.0,9369.0,20275,16
0.0,0.0,56055.0,9369.0,20929,16
0.0,0.0,56055.0,9369.0,21583,16
0.0,0.0,56055.0,9369.0,22237,16
0.0,0.0,56055.0,9369.0,22891,16
0.0,0.0,56055.0,9369.0,23545,16
0.0,0.0,56055.0,9369.0,24199,16
0.0,0.0,56055.0,9369.0,24853,16
0.0,0.0,56055.0,9369.0,25507,16
0.0,0.0,56055.0,9369.0,26161,16
0.0,0.0,56055.0,9369.0,26815,16
0.0,0.0,56055.0,9369.0,27469,16
0.0,0.0,56055.0,9369.0,28123,16
0.0,0.0,56055.0,9369.0,28777,16
0.0,0.0,56055.0,9369.0,29431,16
0.0,0.0,56055.0,9369.0,30085,16
0.0,0.0,56055.0,9369.0,30739,16
0.0,0.0,56055.0,9369.0,31393,16
0.0,0.0,56055.0,9369.0,32047,16
0.0,0.0,56055.0,9369.0,32701,16
0.0,0.0,56055.0,9369.0,33355,16
0.0,0.0,56055.0,9369.0,34009,16
0.0,0.0,56055.0,9369.0,34663,16
0.0,0.0,56055.0,9369.0,35317,16
0.0,0.0,56055.0,9369.0,35971,16
0.0,0.0,56055.0,9369.0,36625,16
0.0,0.0,56055.0,9369.0,37279,16
0.0,0.0,56055.0,9369.0,37933,16
0.0,0.0,56055.0,9369.0,38587,16
0.0,0.0,56055.0,9369.0,39241,16
0.0,0.0,56055.0,9369.0,39895,16
0.0,0.0,56055.0,9369.0,40549,16
0.0,0.0,56055.0,9369.0,41203,16
0.0,0.0,56055.0,9369.0,41857,16
0.0,0.0,56055.0,9369.0,42511,16
0.0,0.0,56055.0,9369.0,43165,16
0.0,0.0,56055.0,9369.0,43819,16
0.0,0.0,56055.0,9369.0,44473,16
0.0,0.0,56055.0,9369.0,45127,16
0.0,0.0,56055.0,9369.0,45781,16
0.0,0.0,56055.0,9369.0,46435,16
0.0,0.0,56055.0,9369.0,47089,16
0.0,0.0,56055.0,9369.0,47743,16
0.0,0.0,56055.0,9369.0,48397,16
0.0,0.0,56055.0,9369.0,49051,16
0.0,0.0,56055.0,9369.0,49705,16
0.0,0.0,56055.0,9369.0,50359,16
0.0,0.0,56055.0,9369.0,51013,16
0.0,0.0,56055.0,9369.0,51667,16
0.0,0.0,56055.0,9369.0,52321,16
0.0,0.0,56055.0,9369.0,52975,16
0.0,0.0,56055.0,9369.0,53629,16
0.0,0.0,56055.0,9369.0,54283,16
0.0,0.0,56055.0,9369.0,54937,16
0.0,0.0,56055.0,9369.0,55591,16
0.0,0.0,56055.0,9369.0,56245,16
0.0,0.0,56055.0,9369.0,56899,16
0.0,0.0,56055.0,9369.0,57553,16
0.0,0.0,56055.0,9369.0,58207,16
0.0,0.0,56055.0,9369.0,58861,16
0.0,0.0,56055.0,9369.0,59515,16
0.0,0.0,56055.0,9369.0,60169,16
0.0,0.0,56055.0,9369.0,60823,16
0.0,0.0,56055.0,9369.0,61477,16
0.0,0.0,56055.0,9369.0,62131,16
0.0,0.0,56055.0,9369.0,62785,16
0.0,0.0,56055.0,9369.0,63439,16
0.0,0.0,56055.0,9369.0,64093,16
0.0,0.0,56055.0,9369.0,64747,16
0.0,0.0,56055.0,9369.0,65401,16
