FN,FP,TN,TP,sr,t
7498.4,11210.2,44840.8,1874.6,1,16
26.2,0.0,56051.0,9346.8,655,16
26.9,0.0,56051.0,9346.1,1309,16
16.7,0.0,56051.0,9356.3,1963,16
8.7,0.0,56051.0,9364.3,2617,16
11.6,0.0,56051.0,9361.4,3271,16
0.0,0.0,56051.0,9373.0,3925,16
2.9,0.0,56051.0,9370.1,4579,16
5.8,0.0,56051.0,9367.2,5233,16
5.8,0.0,56051.0,9367.2,5887,16
0.0,0.0,56051.0,9373.0,6541,16
0.0,0.0,56051.0,9373.0,7195,16
0.0,0.0,56051.0,9373.0,7849,16
2.9,0.0,56051.0,9370.1,8503,16
0.0,0.0,56051.0,9373.0,9157,16
0.0,0.0,56051.0,9373.0,9811,16
0.0,0.0,56051.0,9373.0,10465,16
0.0,0.0,56051.0,9373.0,11119,16
0.0,0.0,56051.0,9373.0,11773,16
0.0,0.0,56051.0,9373.0,12427,16
0.0,0.0,56051.0,9373.0,13081,16
0.0,0.0,56051.0,9373.0,13735,16
0.0,0.0,56051.0,9373.0,14389,16
0.0,0.0,56051.0,9373.0,15043,16
0.0,0.0,56051.0,9373.0,15697,16
0.0,0.0,56051.0,9373.0,16351,16
0.0,0.0,56051.0,9373.0,17005,16
0.0,0.0,56051.0,9373.0,17659,16
0.0,0.0,56051.0,9373.0,18313,16
0.0,0.0,56051.0,9373.0,18967,16
0.0,0.0,56051.0,9373.0,19621,16
0.0,0.0,56051.0,9373.0,20275,16
0.0,0.0,56051.0,9373.0,20929,16
0.0,0.0,56051.0,9373.0,21583,16
0.0,0.0,56051.0,9373.0,22237,16
0.0,0.0,56051.0,9373.0,22891,16
0.0,0.0,56051.0,9373.0,23545,16
0.0,0.0,56051.0,9373.0,24199,16
0.0,0.0,56051.0,9373.0,24853,16
0.0,0.0,56051.0,9373.0,25507,16
0.0,0.0,56051.0,9373.0,26161,16
0.0,0.0,56051.0,9373.0,26815,16
0.0,0.0,56051.0,9373.0,27469,16
0.0,0.0,56051.0,9373.0,28123,16
0.0,0.0,56051.0,9373.0,28777,16
0.0,0.0,56051.0,9373.0,29431,16
0.0,0.0,56051.0,9373.0,30085,16
0.0,0.0,56051.0,9373.0,30739,16
0.0,0.0,56051.0,9373.0,31393,16
0.0,0.0,56051.0,9373.0,32047,16
0.0,0.0,56051.0,9373.0,32701,16
0.0,0.0,56051.0,9373.0,33355,16
0.0,0.0,56051.0,9373.0,34009,16
0.0,0.0,56051.0,9373.0,34663,16
0.0,0.0,56051.0,9373.0,35317,16
0.0,0.0,56051.0,9373.0,35971,16
0.0,0.0,56051.0,9373.0,36625,16
0.0,0.0,56051.0,9373.0,37279,16
0.0,0.0,56051.0,9373.0,37933,16
0.0,0.0,56051.0,9373.0,38587,16
0.0,0.0,56051.0,9373.0,39241,16
0.0,0.0,56051.0,9373.0,39895,16
0.0,0.0,56051.0,9373.0,40549,16
0.0,0.0,56051.0,9373.0,41203,16
0.0,0.0,56051.0,9373.0,41857,16
0.0,0.0,56051.0,9373.0,42511,16
0.0,0.0,56051.0,9373.0,43165,16
0.0,0.0,56051.0,9373.0,43819,16
0.0,0.0,56051.0,9373.0,44473,16
0.0,0.0,56051.0,9373.0,45127,16
0.0,0.0,56051.0,9373.0,45781,16
0.0,0.0,56051.0,9373.0,46435,16
0.0,0.0,56051.0,9373.0,47089,16
0.0,0.0,56051.0,9373.0,47743,16
0.0,0.0,56051.0,9373.0,48397,16
0.0,0.0,56051.0,9373.0,49051,16
0.0,0.0,56051.0,9373.0,49705,16
0.0,0.0,56051.0,9373.0,50359,16
0.0,0.0,56051.0,9373.0,51013,16
0.0,0.0,56051.0,9373.0,51667,16
0.0,0.0,56051.0,9373.0,52321,16
0.0,0.0,56051.0,9373.0,52975,16
0.0,0.0,56051.0,9373.0,53629,16
0.0,0.0,56051.0,9373.0,54283,16
0.0,0.0,56051.0,9373.0,54937,16
0.0,0.0,56051.0,9373.0,55591,16
0.0,0.0,56051.0,9373.0,56245,16
0.0,0.0,56051.0,9373.0,56899,16
0.0,0.0,56051.0,9373.0,57553,16
0.0,0.0,56051.0,9373.0,58207,16
0.0,0.0,56051.0,9373.0,58861,16
0.0,0.0,56051.0,9373.0,59515,16
0.0,0.0,56051.0,9373.0,60169,16
0.0,0.0,56051.0,9373.0,60823,16
0.0,0.0,56051.0,9373.0,61477,16
0.0,0.0,56051.0,9373.0,62131,16
0.0,0.0,56051.0,9373.0,62785,16
0.0,0.0,56051.0,9373.0,63439,16
0.0,0.0,56051.0,9373.0,64093,16
0.0,0.0,56051.0,9373.0,64747,16
0.0,0.0,56051.0,9373.0,65401,16
